ID,용도,경로,설명,캡션
career/job-lab,대표,/assets/images/programs/career/job-lab.png,미래직업연구소 강연 장면,
career/job-lab,갤러리,/assets/images/programs/career/job-lab.png,미래직업연구소 활동 1,직업 변화 탐구
career/job-lab,갤러리,/assets/images/programs/career/job-lab.png,미래직업연구소 활동 2,강점 연결
career/job-lab,갤러리,/assets/images/programs/career/job-lab.png,미래직업연구소 활동 3,직업 설계
career/job-lab,갤러리,/assets/images/programs/career/job-lab.png,미래직업연구소 활동 4,결과 발표
career/talkshow,대표,/assets/images/programs/career/career-talkshow.webp,진로 토크쇼 강연 장면,
career/talkshow,갤러리,,진로 토크쇼 활동 장면 1,토크쇼 진행
career/talkshow,갤러리,,진로 토크쇼 활동 장면 2,Q&A 시간
career/talkshow,갤러리,,진로 토크쇼 활동 장면 3,강연자 이야기
career/talkshow,갤러리,,진로 토크쇼 활동 장면 4,소감 나누기
career/ceo-talk,개요,/assets/images/programs/career/ceo-life-vertical.png,내 인생의 CEO 강연 활동,
career/ceo-talk,대표,/assets/images/programs/career/ceo-life.png,내 인생의 CEO 강연 장면,
career/ceo-talk,갤러리,/assets/images/programs/career/ceo-life.png,내 인생의 CEO 강연 1,강연 시작
career/ceo-talk,갤러리,/assets/images/programs/career/ceo-life-vertical.png,내 인생의 CEO 강연 2,창업 이야기
career/ceo-talk,갤러리,/assets/images/programs/career/ceo-life.png,내 인생의 CEO 강연 3,나에게 적용
career/ceo-talk,갤러리,/assets/images/programs/career/ceo-life-vertical.png,내 인생의 CEO 강연 4,소감 공유
